name=RTK_primaries;context=kanji;reversible=False;ordered=True,,,,,,,
meaning,strokes,primaries,index,kanji,kunyo,onyo,hook
spine,7,"mouth, *a drop of, mouth",24,呂,ロ,,Like a picture of two vertebrae in the SPINE linked by a single stroke.
prosperous,8,"sun, sun",25,昌,ショウ,まさ,What could be more PROSPEROUS than the farm beneath two 'suns'?
early; *sunflower,6,"sun, *needle",26,早,ソウ　　サッr,はや・い　　はや・まる　　はや・める,The *sunflower gets special treatment from the 'sun' to make it bloom the EARLIEST. See its 'needle' for a stem?
rising sun,6,"*baseball, sun",27,旭,キョク,あさひ,"The RISING SUN, nickname of Japan - also known for its love of 'baseball'."
generation,5,"ten, ten, ten",28,世,セ　　セイ,よ,One GENERATION is a period of about thirty years - that's three 'tens'.
stomach,9,"*brains, *flesh",29,胃,イ,,The STOMACH is packed with neurons - it's pretty much the 'brains' of the 'flesh'.
nightbreak,5,"sun, *floor",30,旦,タン　　ダン,,"Not daybreak, but NIGHTBREAK - the breaking of the night when the 'sun' rises over the 'floor' of the horizon."
gall bladder,9,"*part of the body, nightbreak",31,胆,タン,,The GALL BLADDER is the 'body part' that wakes you up after 'nightbreak'.
span,6,"*ceiling, sun, *floor",32,亘,コウ,わた・る,The SPAN of our lives is demarcated by the 'sun' rising and falling over the 'floor' and 'ceiling' that are its horizons.
concave,5,_primary,33,凹,オウ,,It has a dint in it that makes it CONCAVE.
convex,5,_primary,34,凸,トツ,,It has a bump in it that makes it CONVEX.
*walking stick,1,_primary,34a,,,,
*a drop of,1,_primary,34b,,,,
olden times,5,"*walking stick, day",35,旧,キュウ,,OLDEN TIMES were the good 'old' 'days' - so old they need a 'walking stick' to get around.
oneself; *nose; *nostrils,6,"*a drop of, eye",36,自,ジ　　シ,みずか・ら,The Japanese point to the *nose when identifying ONESELF - and the nose is the 'drop' between your 'eyes'.
white; *white bird; *dove,5,"*a drop of, sun",37,白,ハク　　ビャク,しろ　　しろ・い　　しらr,"The colour WHITE is a 'drop' of 'sun' light, containing all colours. Also signifies any *white bird."
hundred,6,"one, white",38,百,ヒャク,,"The 99th birthday is a 'white' year, because it is 'one' minus A HUNDRED."
in,4,"mouth, *walking stick",39,中,チュウ　　ジュウ r,なか,Imagine giving medicine to a baby - you need a 'walking stick' to pry apart their mouths and get the medicine IN.
thousand,3,"*a drop of, ten",40,千,セン,ち,Imagine 'dropping' a couple more zeroes into 'ten' to get a THOUSAND.
tongue,6,"thousand, mouths",41,舌,ゼツ,した,A language is a 'thousand' 'mouths' speaking one TONGUE.
measuring box; *sake cup,4,"thousand, *needles",42,升,ショウ,ます,"A MEASURING BOX, or a SAKE CUP, would be a lot less tempting to the alcoholic if it were covered in a 'thousand' 'needles'."
rise up,8,"sun, measuring box",43,昇,ショウ,のぼ・る,Imagine the 'sun' RISING UP out of a 'sake cup'.
round; *fat man,3,"nine, *a drop of",44,丸,ガン,まる・い　　まる　　まる・める,Add a 'drop' to 'nine' to get a nice ROUND number - and a *fat man is much like a round 'baseball'.
measurement; *glue,3,"ten, *a drop of",45,寸,スン,,"One 'drop' of 'ten' in a shaku makes a small unit of Japanese MEASUREMENT. For the primitive, think of the importance of measuring in woodwork - and the importance of *glue."
elbow,7,"*part of the body, *glue",46,肘,,ひじ,"Instead of ELBOW grease, think of the elbow as the 'flesh' that's 'glued' to the task."
specialty,9,"ten, rice field, *glue",47,専,セン,もっぱ・ら,A SPECIALTY is 'ten' 'fields' 'glued' together - a combination of skills only you possess.
Dr.; *acupuncturist,12,"*needle, specialty, *a drop of",48,博,ハク　　バクr,,"A Japanese DR. is a 'needle' 'specialist' - with an extra 'drop' to mark the dot in Dr. Lends itself as a primitive to mean *acupuncturist, naturally."
divining rod; magic wand,2,_primary,48a,,,,
fortune-telling,5,"divining rod, mouth",49,占,セン,し・める　　うらな・う,A 'divining rod' over a 'mouth' aptly signifies a FORTUNE TELLER.
above,3,"divining rod, *floor",50,上,ジョウ　　ショウr,うえ　　うわr　　かみ　　あ・げる　　あ・がる　　のぼ・る　　のぼ・す　　のぼ・せる,It's a 'magic wand' magically floating ABOVE the 'floor'.
below,3,"divining rod, *ceiling",51,下,カ　　ゲ,した　　しも　　もと　　さ・げる　　さ・がる　　くだ・る　　くだ・す　　くだ・さる　　お・ろす　　お・りる,It's a 'magic wand' magically hanging BELOW the 'ceiling'.
eminent,8,"divining rod, *sunflower",52,卓,タク,,"All hail the EMINENT 'sunflower' sage, with a flower for his 'magic wand'."
*mist,8,"*needle, *sunflower",52a,,,,
morning,12,"*mist, moon",53,朝,チョウ,あさ,The 'mist' (that 'needles' the 'sunflowers') together with the 'moon' beautifully evoke the MORNING.
derision,15,"mouth, morning",54,嘲,チョウ,あざけ・る,"An act of DERISION leaves a bitter taste, like the 'morning' 'mouth' you get after a regrettable night out."
*animal legs,2,_primary,54a,,,,
*human legs,2,_primary,54b,,,,
*wind; *weather vane,2,_primary,54c,,,,
*bound up,2,_primary,54d,,,,
*horns,2,_primary,54e,,,,
only,5,"mouth, *animal legs",55,只,,ただ,A bizarre creature with just a 'mouth' and 'animal legs' is sure to be the ONLY one of its kind.
shellfish; shells; *oyster; *clam,7,"eye, *animal legs",56,貝,,かい,Imagine a horrid SHELLFISH that is nothing but a massive 'eye' on little 'animal legs'.
pop song,10,"mouth, *oyster",57,唄,,うたr,There's a lot of money in POP SONGS - see this singer spewing fancy 'shellfish' out of her 'mouth' after an expensive binge.
upright,9,"magic wand, shellfish",58,貞,テイ,,It would take a 'magic wand' to make a 'shellfish' stand UPRIGHT - which is exactly what we have here.
employee,10,"mouth, *clam",59,員,イン,,EMPLOYEES are expected to keep their 'mouths' 'clammed' up - or risk being fired.
post a bill,12,"shellfish, fortune-telling",60,貼,チョウ,は・る,"This BILL has been posted next to a Chinese restaurant advertising their new delicacy - instead of 'fortune' cookies, they sell fortune 'clams'."
see,7,"eye, *human legs",61,見,ケン,み・る　　み・える　　み・せる,You can't outrun it and you can't hide from it - the monstrous 'eye' with 'human legs' SEES all.
newborn babe,7,"olden times, *human legs",62,児,ジ　　ニr,,"This NEWBORN BABE crawls at the feet of Father Time, who represents the 'olden days'."
beginning,4,"two, *human legs",63,元,ゲン　　ガン,もと,In the BEGINNING there were but 'two' sets of of 'human legs' in the world.
page; *head,9,"one, *a drop of, *clam",64,頁,,ページ,A 'shellfish' is like a book with 'one' PAGE containing a single 'drop' (pearl) of wisdom. As a primitive it signifies *head.
stubborn,13,"beginning, *head",65,頑,ガン,,"Picture Cain and Abel with their swollen STUBBORN 'heads', grimacing at God back in the 'beginning'."
mediocre,3,"*wind, *a drop of",66,凡,ボン　　ハンr,,Forget about a 'drop' in a bucket - a drop in the 'wind' is far more MEDIOCRE.
defeat,9,"*bound up, shellfish",67,負,フ,ま・ける　　ま・かす　　お・う,"Imagine 'shellfish' battling one another - the victor has 'bound up' the loser, signifying the latter's DEFEAT."
ten thousand,3,"one, *bound up",68,万,マン　　バン,,"One' must be 'bound up' with many zeroes to make TEN THOUSAND, the Japanese go-to for 'a very big number'."
phrase,5,"*bound up, mouth",69,句,ク,,A PHRASE is a bunch of words 'bound up' so that they fit in your 'mouth' (and in your memory).
texture,6,"*flesh, *wind",70,肌,,はだ,"Whenever a 'part of the body' gets exposed to the 'wind', its TEXTURE is affected."
decameron,6,"*bound up, day",71,旬,ジュン　　シュン r,,A DECAMERON is ten 'days' 'bound up' together.
ladle,3,"*bound up, *a drop of",72,勺,シャク,,A LADLE is used to 'bind up' many 'drops' of liquid - see the last drop left after the rest has been served up?
bull's eye,8,"*white bird, ladle",73,的,テキ,まと,This 'white bird' painted on a metal 'ladle' makes an excellent BULL'S EYE for target-practice - hear the 'ping' when you hit your target.
neck,9,"*horns, *nose",74,首,シュ,くび,This poor moose - with big 'horns' and a bigger 'nose' - has had his head cut off at the NECK and hung on someone's wall.
fish guts; *fishhook,1,_primary,75,乙,オツ,,"This kanji for FISH GUTS is a pictograph of a *fish hook, which also bears connotations of pure, tasteful, and quaint things."
riot,7,"tongue, *fishhook",76,乱,ラン,みだ・す　　みだ・れる,"This kanji shows what happens to a RIOTOUS 'tongue' - it becomes 'barbed', in order to 'hook' its enemies."
straightaway,8,"*needle, eye, *fishhook",77,直,チョク　　ジキ,なお・す　　なお・る　　ただ・ちに,This kanji depicts a 'fish hook' being STRAIGHTENED OUT so it can ascend through the 'eye of the needle'.
*toolbench,3,"one, *animal legs",77a,,,,
tool,8,"eye, *toolbench",78,具,グ,,"Think of a carpenter's table (complete with sculptural 'animal legs') bearing many TOOLS, each magically equipped with an 'eye' so that the distrustful master can monitor their use."
true,10,"*needle, eye, *toolbench",79,真,シン,ま,The TRUTH is a 'tool' to whittle knowledge until it can pass through the 'eye of the needle'.
by one's side,2,_primary,79a,,,,
craft; *I beam; *artificial,3,_primary,80,工,コウ　　ク,,"A pictograph of an I-beam, used heavily in the CRAFT of construction."
left,5,"by one's side, craft",81,左,サ,ひだり,"The LEFT has traditionally been considered the sinister 'side', where dark and occult 'crafts' are cultivated."
right,5,"by one's side, mouth",82,右,ウ　　ユウ,みぎ,"On the RIGHT 'side' hangs a 'mouth', like the angel over your shoulder telling you what's right."
possess,6,"by one's side, *flesh",83,有,ユウ　　ウ,あ・る,The best way to prevent demonic POSSESSION is to hang a piece of rotting 'flesh' 'by your side' wherever you go.
bribe,13,"shellfish, possess",84,賄,ワイ,まかな・う,A person who can be BRIBED is invariably one who is 'possessed' by 'shellfish' - i.e. wealth.
tribute,10,"craft, shellfish",85,貢,コウ　　クr,みつ・ぐ,The system of TRIBUTES is that wonderous state 'craft' of extracting extra 'shells' (money) from those who have few in exchange for nothing.
paragraph,12,"craft, *head",86,項,コウ,,"The PARAGRAPH is the writer's secret 'heading' 'craft', which few have mastered, though many try."
sword; *dagger,2,_primary,87,刀,トウ,かたな,"This pictograph depicts the hilt of an ornate SWORD, like the bucket-grips popular with Spanish swashbucklers. When put to one side and elongated, it instead represents a great flashing *sabre, which is always hung to the right, as is proper."
*sabre,2,sword,87a,,,,
blade,3,"*dagger, *a drop of",88,刃,ジン,は,See the little 'drop' of blood clinging to the BLADE of the 'sword'?
cut,4,"*diced, *sabre",89,切,セツ　　サイr,き・る　　き・れる,"Imagine a great Japanese chef, master of the fine sashimi CUT, who one day loses his mind and decides to 'dice' up everything with his 'knife'."
seduce,5,"*dagger, mouth",90,召,ショウ,め・す,"SEDUCTION is the art of the 'dagger' 'mouth', with all the Freudian implications that come with it."
shining,9,"sun, seduce",91,昭,ショウ,,"That which SHINES has 'seduced' the 'sun' down on it, distracting admirers from the true source of the light."
rule,9,"shellfish, *sabre",92,則,ソク,,"Imagine the weary ronin who must now resort to the ignoble trade of 'clam' picking. He cracks open the clam with his once-brilliant 'saber', now notched on its blunt side so he may RULE the clams and so avoid the local government tax on the juiciest specimens."
*wealth,9,"one, mouth, rice field",92a,,,,
vice-,11,"*wealth, *sabre",93,副,フク,,"A 'wealthy' man's 'sabre' is his VICE- captain, who stands by his side in exchange for a cut of the wealth."
separate,7,"mouth, *bound up, *sabre",94,別,ベツ,わか・れる,"Nothing should SEPARATE a samurai from his sword. Here we have a captured warrior 'bound up' out of reach of his 'sabre', his 'mouth' wide open and howling with shame."
street; *nail; *spike,2,_primary,95,丁,チョウ　　テイ,,This is a STREET sign on a long pole. As a primitive it signifies a *nail or *spike. Imagine pulling a street sign out of the ground and using it as a nail to mend your roof.
town,7,"rice field, street",96,町,チョウ,まち,The limits of the TOWN lie where the 'street' signs stand next to the 'rice fields'.
can,5,"*spike, mouth",97,可,カ,,"I think I can, I think I CAN: the Little Engine that Could chews up the railway 'spikes' in his 'mouth' and spits them out in front of him on his arduous journey."
place on the *head,11,"*nail, *head",98,頂,チョウ,いただ・く　　いただき,"If you plan to hit the 'nail' on the 'head', you must ensure it is properly PLACED ON THE HEAD first."
child,3,_primary,99,子,シ　　ス,こ,"This is a pictograph of a CHILD, with his funky haircut and little arms wide."
cavity,4,"child, *fishhook",100,孔,コウ,,"Nothing is more frightening to a 'child' than to confront the dentist, with all his villainous-looking 'hooks', and be told he has a CAVITY."
complete,2,child,101,了,リョウ,,Wrap the 'child' up and be sure to tuck his arms in to COMPLETE a long day of child-rearing.
woman,3,_primary,102,女,ジョ　　ニョ　　ニョウr,おんな　　め,This is a pictograph of a WOMAN sitting cross-legged on the ground.
fond,6,"woman, child",103,好,コウ,この・む　　す・く,Just think of a 'woman' tenderly FONDLING her 'child'.
likeness,6,"woman, mouth",104,如,ジョ　　ニョ,,"To Sigmund Freud, a 'woman's' 'mouth' bears a disturbing LIKENESS to the passage through which one enters the world."
mama; *breasts,5,woman,105,母,ボ,はは,"The kanji for a 'woman' has been spread out, with two 'drops' added to indicate the nursing breasts of a MAMA. Note that as a primitive, the drops are often joined by a vertical line, and can indicate *breasts."
pierce,11,"mama, shellfish",106,貫,カン,つらぬ・く,Imagine PIERCING your ear so you can wear a traditional 'mama' of 'pearl' earring.
elder brother; *teenager,5,"mouth, *human legs",107,兄,ケイ　　キョウr,あに,"One's ELDER BROTHER can appear to the younger like one big blabber-'mouth' on top of a pair of lanky 'human legs'. As a primitive, it could depict any *teenager."
curse,8,"mouth, elder brother",108,呪,ジュ,のろ・う,One's teenaged 'elder brother' emits nothing but CURSES from his 'mouth'.
overcome,7,"*needle, *teenager",109,克,コク,,"Too many 'teenagers' fall under the shadow of the 'needle' - but with the right support, most will OVERCOME their addiction."
little,3,"*walking stick, *a drop of",110,小,ショウ,ちい・さい　　こ　　お,"This kanji depicts little, little, nothing but LITTLE."
few,4,"little, *a drop of",111,少,ショウ,すこ・し　　すく・ない,"The 'eyedropper' suggests belittling of what is already 'little', yielding but a FEW of something."
large; *St. Bernard dog,3,_primary,112,大,ダイ　　タイ,おお　　おお・きい　　おお・いに,"A pictograph of a person taking up a whole character - so they must be very LARGE. As a primitive, it represents *St. Bernard's dog, or any large breed."
many,6,"moon, moon",113,多,タ,おお・い,"MANY 'moons' ago, begins many a traditional folktale: and here are two of them, lacking a stroke each because they are obscured by the clouds of time."
evening,3,moon,114,夕,セキ,ゆう,"Just as EVENING is a little more formal than night, so is the kanji for it a more elegant and coy 'moon', partially obscured by cloud."
eventide,6,"water, evening",115,汐,セキ,しお,The EVENTIDE is those 'drops of water' that creep up the shore in the 'evening'.
outside,5,"evening, magic wand",116,外,ガイ　　ゲ,そと　　ほか　　はず・す　　はず・れる,Going OUTSIDE in the 'evening' to use your 'magic wand' is the best way to enhance one's sorcery.
name,6,"evening, mouth",117,名,メイ　　ミョウ,な,"In parts of Africa, a child's NAME comes to them through a father's 'evening' 'mouth' whispering in their ear before the next day's formal announcement."
*cliff,2,_primary,117a,,,,
stone,5,"*cliff, mouth",118,石,セキ　　シャク　　コクr,いし,"This depicts a 'mouth' under a 'cliff' - a secret cave like Christ's tomb, sealed with a great STONE."
resemblance; *spark; *candle,7,"little, *flesh",119,肖,ショウ,,"Where we talk of a chip off the old block when discussing a child's RESEMBLANCE to their parents, the Japanese speak of a 'little' bit of 'flesh'. As a primitive, it represents a *spark or a *candle."
nitrate,12,"stone, *spark",120,硝,ショウ,,Imagine pouring NITRATE over a 'rock' - can you see the 'sparks' fly?
smash,9,"stone, *baseball, *needle",121,砕,サイ,くだ・く　　くだ・ける,"In the made-up game of SMASH-ball, a 'baseball' bat is used to hit a 'rock' at a 'needle' laid across sticks. It's cricket for cavemen."
sand,9,"stone, few",122,砂,サ　　シャ,すな,Good SAND for beaches has 'few' 'stones' in it.
jealous,8,"woman, stone",123,妬,ト,ねた・む,This kanji depicts a 'woman' who is JEALOUS of the enormous 'rock' flaunted on another's ring finger.
plane,9,"*spark, *sabre",124,削,サク,けず・る,"A very skilled craftsman can PLANE a material with a 'saber', sending 'sparks' flying."
ray,6,"little, one, *human legs",125,光,コウ,ひか・る　　ひかり,"When you think of a RAY of light, think of it as a pair of 'little' 'human legs' dancing from fleck to fleck in a glowing column of dust."
plump,4,"large, *a drop of",126,太,タイ　　タ,ふと・い　　ふと・る,A PLUMP fruit is like a 'large' 'drop'.
utensil,15,"mouth, mouth, *St. Bernard dog, mouth, mouth",127,器,キ,うつわ,Think of the UTENSILS you would need to carve up a great 'St. Bernard's dog' to feed four hungry 'mouths'.
stinking,9,"*nose, *St. Bernard dog",128,臭,シュウ,くさ・い　　にお・う,"Our friendly 'St. Bernard's dog' has its 'nose' in the air, searching for something STINKING."
sniff,12,"mouth, stinking",129,嗅,キュウ,か・ぐ,To SNIFF something is like tasting something 'stinking' with your 'mouth'.
exquisite,7,"woman, few",130,妙,ミョウ,,There are very 'few' 'women' who are truly EXQUISITE.
focus,9,"few, eye",131,省,ショウ　　セイ,かえり・みる　　はぶ・く,This kanji depicts one picking out a 'few' things to fix before one's 'eyes' in order to FOCUS on them.
thick,9,"*cliff, sun, child",132,厚,コウ,あつ・い,"An abandoned 'child', exposed on a 'cliff' under the 'sun', is sure to grow up to be very THICK -skinned."
strange,8,"*St. Bernard dog, *nail, mouth",133,奇,キ,,STRANGE but true: a tradie has trained his trusty 'St. Bernard' to bring him 'nails' in his 'mouth'. What a wacky world!
stream,3,_primary,134,川,セン,かわ,"It's a picture of a STREAM, flowing from top to bottom."
*flood,3,stream,134a,,,,
state,6,"stream, *a drop of, *a drop of, *a drop of",135,州,シュウ,す,Two STATES are divided by a 'stream' - but who owns the little 'drops' of land inbetween?
obey,12,"stream, *head",136,順,ジュン,,"In Japan, one must always OBEY - heeding the 'head' and going along with the 'stream'."
water,4,"*walking stick, *a drop of, *a drop of, *a drop of",137,水,スイ,みず,"This kanji depicts a 'walking stick' being dropped into WATER, flinging 'drops' everywhere."
icicle,5,"water, *a drop of",138,氷,ヒョウ,こおり　　ひ,An ICICLE is a frozen bit of 'water' ready to 'drop' on your head; it's water after a 'drop' of frost has fallen.
eternity,5,"water, *a drop of",139,永,エイ,なが・い,"As Blake almost said, there's infinity in a grain of sand, ETERNITY in a 'drop' of 'water'."
spring,9,"white, water",140,泉,セン,いずみ,This bubbling SPRING is named for the 'white' foam at the peak of the 'water'.
gland,13,"*flesh, spring",141,腺,セン,,Dig into your 'flesh' and rip out a GLAND: give it a squeeze and see the lymph 'spring' out of it.
meadow,10,"*cliff, spring",142,原,ゲン,はら,"Sister Maria is singing in an alpine MEADOW bubbling with pure 'springs', bounded by a precipitous 'cliff'."
petition,19,"meadow, *head",143,願,ガン,ねが・う,"Imagine the vast 'head' of the Wizard of Oz, perched in a broad 'meadow' to hear the people's PETITIONS."
swim,8,"water, eternity",144,泳,エイ,およ・ぐ,"If your ship founders in the middle of the wide 'waters' of the Pacific, you will have to SWIM for an 'eternity' to find land."
marsh,8,"water, seduce",145,沼,ショウ,ぬま,Legend goes that MARSHES can often 'seduce' unwary travellers into the 'water' - drowning the unfortunates and endlessly growing the swamp.
open sea,7,"water, in",146,沖,チュウ,おき,The OPEN SEA is a picture of being 'in' the midst of the 'water'.
pan-,6,"water, mediocre",147,汎,ハン,,"This kanji is named for the PAN- 'Mediocre' 'Water' Sports Games, where all the worst sailors go to drown."
creek,6,"water, craft",148,江,コウ,え,This kanji depicts a man-made CREEK - a fine example of 'water' 'craft'.
cleanse,7,"water, plump",149,汰,タ,,"When a very 'plump' man goes to the 'water' to CLEANSE himself, he does so only by making the water more dirty - which is the alternate meaning of this character."
soup,5,"water, ten",150,汁,ジュウ,しる,The Japanese refer to SOUP as a meal of 'ten' 'waters' mixed together.
grains of sand,7,"water, few",151,沙,サ,,"GRAINS OF SAND are paired with a 'few' drops of 'water' - one for every grain for a perfect, moist beach."
tide,15,"water, morning",152,潮,チョウ,しお,"In Japan, the TIDE is known as the 'water' of the 'morning', surging up the harbour beckoning the fishermen out to sea."
source,13,"water, meadow",153,源,ゲン,みなもと,A pristine 'water' 'meadow' makes the ideal municipal water SOURCE.
lively,9,"water, tongue",154,活,カツ,,A LIVELY party is one where 'tongues' babble and splash around like 'water'.
extinguish,10,"water, *spark",155,消,ショウ,け・す　　き・える,One drop of 'water' per 'spark' is optimal for EXTINGUISHING a fire.
but of course,8,"water, *teenager",156,況,キョウ,,"A 'teenager' is heading out on their first date when their mum asks if they have 'watered' behind their ears - BUT OF COURSE, they naturally protest."
river,8,"water, can",157,河,カ,かわ,"Think of the Little Engine that 'could', now transformed into a steamship chugging down the 'waters' of the mighty RIVER Mississippi."
overnight,8,"water, white",158,泊,ハク,と・まる　　と・める,"When you stop by at an OVERNIGHT inn, all you really expect is a bit of 'water' to wash your face and some crisp 'white' sheets to lay under."
lake,12,"water, old, *flesh",159,湖,コ,みずうみ,The LAKE people of ancient times used to set people out on the 'water' as soon as they grew too 'old' to bear the burdens of the 'flesh'.
fathom,12,"water, rule",160,測,ソク,はか・る,"The nautical unit of the FATHOM is the preferred 'water' 'rule' for sailors, who would pay out a line to measure how many fathoms to the bottom of the sea."
soil; *ground; *dirt; *land,3,"ten, *floor",161,土,ド　　ト,つち,The many varieties of SOIL make up the 'ten' 'floors' you stand on right now. Or perhaps this pictograph depicts a mound of SOIL piled up on the ground.
spit,6,"mouth, *dirt",162,吐,ト,は・く,"If your 'mouth' gets filled with 'dirt', what else do you do but SPIT it out immediately?"
pressure,5,"*cliff, soil",163,圧,アツ,,Think of all the PRESSURE the 'soil' beneath a 'cliff' must experience: surely a landslide is inevitable?
cape,11,"*land, strange",164,埼,,さい,CAPE Odd is reputed to be a 'land' most 'strange'.
hedge,9,"*ground, span",165,垣,,かき,The 'lands' of Sleeping Beauty's prison castle is 'spanned' with HEDGES.
inlay,13,"*ground, true",166,填,テン,,There is a great 'truth' INLAID in the 'soil' (the knowledge of science).
squared jewel; *ivy,6,"*ground, *ground",167,圭,ケイ,,"This kanji depicts a great SQUARED JEWEL made by piling up 'soil' under 'soil'. As a primitive, though, it aptly depicts *ivy climbing up a wall."
seal,9,"*ivy, *glue",168,封,フウ　　ホウ,,"Traditionally, envelopes were SEALED with 'ivy' and 'glue'."
horizon,11,"water, *cliff, *ivy",169,涯,ガイ,,"Sailors long abroad yearn to see 'cliffs' of 'ivy' on the HORIZON, welcoming them home."
Buddhist temple,6,"*ground, *glue",170,寺,ジ,てら,The first BUDDHIST TEMPLES were nothing more than heaps of 'soil' 'glued' together - perfect for the austere Buddha.
time,10,"sun, Buddhist temple",171,時,ジ,とき,"What is TIME? It is the 'sun' rising over a 'Buddhist temple', connecting each 'day' with every day."
level,7,"*ground, ladle",172,均,キン,,This kanji depicts a 'ladle' of 'soil' being scooped up and LEVELLED off - see the two 'drops' of earth falling down the middle?
fire; fireplace; *hearth; *conflagration,4,_primary,173,火,カ,ひ　　ほr,"Two errant flecks of FIRE are drawn first, followed by the conical sweep of a perfect blaze."
*flames; *cauldron; *cooking fire; *oven fire,4,"fire, _under",173a,,,,
inflammation,8,"fire, fire",174,炎,エン,ほのお,"INFLAMMATION is the proliferation of multiple 'fires', one atop the other."
anxiety,13,"fire, *head",175,煩,ハン　　ボンr,わずら・う  　わずら・わす,ANXIETY is like having one's 'head' set on 'fire'.
thin,11,"water, inflammation",176,淡,タン,あわ・い,"When an 'inflammation' boils away the 'waters' of the body, the febrile victim is left dangerously THIN."
lamp,6,"fire, *nail",177,灯,トウ,ひ,The first LAMP was a fleck of 'fire' 'nailed' up.
farm,9,"fire, rice field",178,畑,,はた　　はたけ,A FARM is depicted simply with a hearth 'fire' beside a 'field of rice'.
disaster,7,"*flood, fire",179,災,サイ,わざわ・い,Fire' and 'flood' is a common euphemism for DISASTER.
ashes,6,"*cliff, fire",180,灰,カイ,はい,Gather up the ASHES of your loved one from the 'fire' and cast them from a high Hebridean 'cliff'.
spot,9,"fortune-telling, *flames",181,点,テン,,Some 'fortune tellers' look into the 'fire' and interpret the SPOTS that consequently fill their vision.
illuminate,13,"shining, *flames",182,照,ショウ,て・らす　　て・る　　て・れる,To ILLUMINATE a clay pot is to take the 'shine' (glaze) and 'fire' it.
